appid,nombre,genero_steamspy,tags,owners_estimado,promedio_horas,precio,hltb_name,main_story,main_extra,completionist
1623730,Palworld,RPG,[],"50,000,000 .. 100,000,000",0,2999,Palworld,42.53,77.13,94.61
1063730,New World: Aeternum,RPG,[],"50,000,000 .. 100,000,000",0,5999,New World: Aeternum,27.5,106.5,0.0
2358720,Black Myth: Wukong,RPG,[],"50,000,000 .. 100,000,000",0,5999,Black Myth: Wukong,37.83,48.33,67.49
1599340,Lost Ark,RPG,[],"50,000,000 .. 100,000,000",0,0,Lost Ark,55.78,202.82,629.0
2246340,Monster Hunter Wilds,RPG,[],"20,000,000 .. 50,000,000",0,2939,Monster Hunter Wilds,18.0,45.04,114.25
230410,Warframe,RPG,[],"20,000,000 .. 50,000,000",0,0,Warframe,113.79,649.7,1556.57
1245620,ELDEN RING,RPG,[],"20,000,000 .. 50,000,000",0,5999,Elden Ring,60.06,101.18,135.89
105600,Terraria,RPG,[],"20,000,000 .. 50,000,000",0,999,Terraria,51.77,91.88,205.78
2694490,Path of Exile 2,RPG,[],"20,000,000 .. 50,000,000",0,2999,Path of Exile 2,37.74,68.96,177.13
1086940,Baldur's Gate 3,RPG,[],"20,000,000 .. 50,000,000",0,4499,Baldur's Gate 3,73.11,116.64,181.19
252490,Rust,RPG,[],"20,000,000 .. 50,000,000",0,3999,Rust,29.96,105.78,116.68
346110,ARK: Survival Evolved,RPG,[],"20,000,000 .. 50,000,000",0,1499,ARK: Survival Evolved,68.77,313.74,941.61
413150,Stardew Valley,RPG,[],"20,000,000 .. 50,000,000",0,1499,Stardew Valley,53.4,94.83,171.83
238960,Path of Exile,RPG,[],"20,000,000 .. 50,000,000",0,0,Path of Exile,30.03,110.67,790.88
218620,PAYDAY 2,RPG,[],"20,000,000 .. 50,000,000",0,499,Payday 2,27.08,154.99,537.95
899770,Last Epoch,RPG,[],"20,000,000 .. 50,000,000",0,3499,Last Epoch,22.65,47.07,84.26
1091500,Cyberpunk 2077,RPG,[],"20,000,000 .. 50,000,000",0,5999,Cyberpunk 2077,26.07,63.16,108.77
990080,Hogwarts Legacy,RPG,[],"20,000,000 .. 50,000,000",0,5999,Hogwarts Legacy,26.71,45.27,72.14
292030,The Witcher 3: Wild Hunt,RPG,[],"20,000,000 .. 50,000,000",0,3999,The Witcher 3: Wild Hunt,51.66,103.73,174.78
49520,Borderlands 2,RPG,[],"10,000,000 .. 20,000,000",0,1999,Borderlands 2,30.09,54.81,129.85
892970,Valheim,RPG,[],"10,000,000 .. 20,000,000",0,999,Valheim,82.37,104.46,147.74
108600,Project Zomboid,RPG,[],"10,000,000 .. 20,000,000",0,1999,Project Zomboid,59.0,157.38,433.12
386360,SMITE,RPG,[],"10,000,000 .. 20,000,000",0,0,Smite,12.02,587.85,19591.43
322330,Don't Starve Together,RPG,[],"10,000,000 .. 20,000,000",0,1499,Don't Starve Together,34.13,109.91,221.51
239140,Dying Light,RPG,[],"10,000,000 .. 20,000,000",0,2499,Dying Light,18.23,36.64,64.38
251570,7 Days to Die,RPG,[],"10,000,000 .. 20,000,000",0,4499,7 Days to Die,53.24,111.77,284.57
1116170,CyberCorp,RPG,[],"10,000,000 .. 20,000,000",0,1499,CyberCorp,6.11,7.62,0.0
219990,Grim Dawn,RPG,[],"10,000,000 .. 20,000,000",0,2499,Grim Dawn,21.64,48.64,242.82
261550,Mount & Blade II: Bannerlord,RPG,[],"10,000,000 .. 20,000,000",0,4999,Mount & Blade II: Bannerlord,52.68,82.47,171.05
304050,Trove,RPG,[],"10,000,000 .. 20,000,000",0,0,Trove,51.67,97.71,944.62
377160,Fallout 4,RPG,[],"10,000,000 .. 20,000,000",0,1999,Fallout 4,27.8,83.32,160.49
2186680,"Warhammer 40,000: Rogue Trader",RPG,[],"10,000,000 .. 20,000,000",0,4999,"Warhammer 40,000: Rogue Trader",70.75,104.61,155.69
204360,Castle Crashers,RPG,[],"5,000,000 .. 10,000,000",0,149,Castle Crashers,7.16,13.12,36.72
72850,The Elder Scrolls V: Skyrim,RPG,[],"5,000,000 .. 10,000,000",0,1999,The Elder Scrolls V: Skyrim,34.78,109.69,237.34
489830,The Elder Scrolls V: Skyrim Special Edition,RPG,[],"5,000,000 .. 10,000,000",0,3999,The Elder Scrolls V: Skyrim - Special Edition,25.98,110.8,203.2
301520,Robocraft,RPG,[],"5,000,000 .. 10,000,000",0,0,Robocraft,58.13,194.83,0.0
22380,Fallout: New Vegas,RPG,[],"5,000,000 .. 10,000,000",0,999,Fallout: New Vegas,26.9,60.37,130.78
582660,Black Desert,RPG,[],"5,000,000 .. 10,000,000",0,999,Black Desert,93.74,287.31,2060.45
2183900,"Warhammer 40,000: Space Marine 2",RPG,[],"5,000,000 .. 10,000,000",0,1799,"Warhammer 40,000: Space Marine II",9.42,15.46,62.92
306130,The Elder Scrolls Online,RPG,[],"5,000,000 .. 10,000,000",0,1999,The Elder Scrolls Online,48.34,207.44,605.49
1794680,Vampire Survivors,RPG,[],"5,000,000 .. 10,000,000",0,399,Vampire Survivors,15.12,28.08,53.2
363970,Clicker Heroes,RPG,[],"5,000,000 .. 10,000,000",0,0,Clicker Heroes,263.13,786.42,1198.39
1286830,STAR WARS: The Old Republic,RPG,[],"5,000,000 .. 10,000,000",0,0,Star Wars: The Old Republic,79.25,208.18,1356.5
1145360,Hades,RPG,[],"5,000,000 .. 10,000,000",0,749,Hades,23.39,48.44,95.29
391540,Undertale,RPG,[],"5,000,000 .. 10,000,000",0,249,Undertale,7.02,11.3,20.68
109600,Neverwinter,RPG,[],"5,000,000 .. 10,000,000",0,0,Neverwinter,49.88,105.67,318.86
435150,Divinity: Original Sin 2 - Definitive Edition,RPG,[],"5,000,000 .. 10,000,000",0,4499,,,,
534380,Dying Light 2 Stay Human: Reloaded Edition,RPG,[],"5,000,000 .. 10,000,000",0,5999,,,,
766570,Russian Fishing 4,RPG,[],"5,000,000 .. 10,000,000",0,0,Russian Fishing 4,0.0,0.0,0.0
555570,Infestation: The New Z,RPG,[],"5,000,000 .. 10,000,000",0,0,Infestation: The New Z,0.0,0.0,0.0
365590,Tom Clancy’s The Division,RPG,[],"5,000,000 .. 10,000,000",0,599,,,,
440900,Conan Exiles Enhanced,RPG,[],"5,000,000 .. 10,000,000",0,2999,,,,
1868140,DAVE THE DIVER,RPG,[],"5,000,000 .. 10,000,000",0,1999,Dave The Diver,25.03,33.99,51.18
48700,Mount & Blade: Warband,RPG,[],"5,000,000 .. 10,000,000",0,1999,Mount & Blade: Warband,73.68,112.22,232.56
285800,Braveland,RPG,[],"5,000,000 .. 10,000,000",0,999,Braveland,3.49,4.58,6.32
1593500,God of War,RPG,[],"5,000,000 .. 10,000,000",0,4999,God of War,20.56,32.9,51.08
812140,Assassin's Creed Odyssey,RPG,[],"5,000,000 .. 10,000,000",0,5999,Assassin's Creed Odyssey,45.63,85.43,145.56
262060,Darkest Dungeon,RPG,[],"2,000,000 .. 5,000,000",0,2499,Darkest Dungeon,56.81,85.18,127.98
761890,Albion Online,RPG,[],"2,000,000 .. 5,000,000",0,0,Albion Online,33.0,37.3,199.2
211820,Starbound,RPG,[],"2,000,000 .. 5,000,000",0,449,Starbound,25.03,59.0,166.01
42910,Magicka,RPG,[],"2,000,000 .. 5,000,000",0,999,Magicka,10.41,16.27,45.34
39210,FINAL FANTASY XIV Online,RPG,[],"2,000,000 .. 5,000,000",0,1999,Final Fantasy XIV,4.0,1067.0,0.0
